INFO:root:[TURN 0] [WORKER u_1 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 187] [WORKER u_39 at (9, 6)] [ACTION build] [VALUE 0.0165] at (0, 4) (rule_build)
INFO:root:[TURN 188] [WORKER u_3 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 188] [WORKER u_2 at (6, 6)] [ACTION build] [VALUE 0.1165] at (5, 6) (rule_build)
INFO:root:[TURN 188] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 188] [WORKER u_5 at (7, 5)] [ACTION build] [VALUE 0.1] at (4, 5) (rule_build)
INFO:root:[TURN 188] [WORKER u_17 at (5, 9)] [ACTION build] [VALUE 0.1] at (4, 8) (rule_build)
INFO:root:[TURN 188] [WORKER u_19 at (5, 5)] [ACTION build] [VALUE 0.05] at (3, 4) (rule_build)
INFO:root:[TURN 188] [WORKER u_29 at (4, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 188] [WORKER u_32 at (6, 4)] [ACTION move] [VALUE 0.012798227816820147] at (6, 5) (rule_resource_value)
INFO:root:[TURN 188] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.012798227816820147] at (6, 6) (rule_resource_value)
INFO:root:[TURN 188] [WORKER u_34 at (4, 6)] [ACTION move] [VALUE 0.0036209821701049805] at (5, 5) (rule_resource_value)
INFO:root:[TURN 188] [WORKER u_39 at (9, 6)] [ACTION build] [VALUE 0.05] at (3, 6) (rule_build)
INFO:root:[TURN 189] [WORKER u_16 at (7, 3)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 189] [WORKER u_5 at (7, 5)] [ACTION build] [VALUE 0.1165] at (5, 6) (rule_build)
INFO:root:[TURN 189] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 189] [WORKER u_19 at (5, 5)] [ACTION build] [VALUE 0.1] at (4, 5) (rule_build)
INFO:root:[TURN 189] [WORKER u_29 at (5, 4)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 189] [WORKER u_31 at (3, 2)] [ACTION build] [VALUE 0.05] at (3, 4) (rule_build)
INFO:root:[TURN 189] [WORKER u_32 at (6, 4)] [ACTION move] [VALUE 0.012798227816820147] at (6, 5) (rule_resource_value)
INFO:root:[TURN 189] [WORKER u_34 at (4, 6)] [ACTION move] [VALUE 0.010862946510314943] at (6, 6) (rule_resource_value)
INFO:root:[TURN 189] [WORKER u_36 at (0, 8)] [ACTION build] [VALUE 0.1] at (4, 8) (rule_build)
INFO:root:[TURN 189] [WORKER u_38 at (1, 3)] [ACTION build] [VALUE 0.0165] at (1, 3) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 189] [WORKER u_39 at (9, 6)] [ACTION build] [VALUE 0.05] at (3, 6) (rule_build)
INFO:root:[TURN 189] [WORKER u_43 at (4, 4)] [ACTION move] [VALUE 0.004276307523250581] at (0, 3) (rule_resource_value)
INFO:root:[TURN 190] [WORKER u_3 at (7, 4)] [ACTION move] [VALUE 0.017064303755760193] at (7, 5) (rule_resource_value)
INFO:root:[TURN 190] [WORKER u_2 at (5, 6)] [ACTION build] [VALUE 0.1165] at (5, 6) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 190] [WORKER u_5 at (7, 5)] [ACTION build] [VALUE 0.1] at (4, 5) (rule_build)
INFO:root:[TURN 190] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 190] [WORKER u_17 at (4, 9)] [ACTION build] [VALUE 0.1] at (4, 8) (rule_build)
INFO:root:[TURN 190] [WORKER u_32 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 190] [WORKER u_33 at (6, 6)] [ACTION build] [VALUE 0.0665] at (1, 2) (rule_build)
INFO:root:[TURN 190] [WORKER u_34 at (4, 6)] [ACTION move] [VALUE 0.010862946510314943] at (6, 6) (rule_resource_value)
INFO:root:[TURN 190] [WORKER u_38 at (1, 3)] [ACTION move] [VALUE 0.008532151877880097] at (0, 3) (rule_resource_value)
INFO:root:[TURN 190] [WORKER u_39 at (9, 6)] [ACTION build] [VALUE 0.0165] at (0, 4) (rule_build)
INFO:root:[TURN 191] [WORKER u_3 at (7, 4)] [ACTION move] [VALUE 0.017064303755760193] at (7, 5) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_2 at (5, 6)] [ACTION move] [VALUE 0.012798227816820147] at (6, 6) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_5 at (7, 5)] [ACTION move] [VALUE 0.020000000000000004] at (7, 5) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_16 at (8, 3)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_19 at (4, 5)] [ACTION move] [VALUE 0.010862946510314943] at (6, 5) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_31 at (3, 3)] [ACTION move] [VALUE 0.006112798750400544] at (0, 3) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_32 at (6, 4)] [ACTION move] [VALUE 0.005000000000000001] at (6, 4) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_33 at (6, 6)] [ACTION move] [VALUE 0.004266075938940048] at (5, 6) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_34 at (4, 6)] [ACTION move] [VALUE 0.0036209821701049805] at (5, 5) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_36 at (1, 8)] [ACTION move] [VALUE 0.005311388969421388] at (6, 9) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.0007379350066184999] at (0, 2) (rule_resource_value)
INFO:root:[TURN 191] [WORKER u_44 at (1, 3)] [ACTION move] [VALUE 0.003056399375200272] at (0, 1) (rule_resource_value)
INFO:root:[TURN 192] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.012798227816820147] at (6, 6) (rule_resource_value)
INFO:root:[TURN 192] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 192] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 192] [WORKER u_45 at (5, 6)] [ACTION move] [VALUE 0.010862946510314943] at (6, 5) (rule_resource_value)
INFO:root:[TURN 193] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.012798227816820147] at (6, 6) (rule_resource_value)
INFO:root:[TURN 193] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 193] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 193] [WORKER u_45 at (5, 6)] [ACTION move] [VALUE 0.010862946510314943] at (6, 5) (rule_resource_value)
INFO:root:[TURN 194] [WORKER u_17 at (4, 8)] [ACTION move] [VALUE 0.009169198125600816] at (6, 9) (rule_resource_value)
INFO:root:[TURN 194] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 194] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.012798227816820147] at (6, 6) (rule_resource_value)
INFO:root:[TURN 194] [WORKER u_38 at (0, 3)] [ACTION move] [VALUE 10.0] at (1, 3) (rule_deliver_resources)
INFO:root:[TURN 194] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 194] [WORKER u_45 at (5, 6)] [ACTION move] [VALUE 0.010862946510314943] at (6, 5) (rule_resource_value)
INFO:root:[TURN 194] [WORKER u_46 at (8, 7)] [ACTION move] [VALUE 0.0025645446777343753] at (5, 6) (rule_resource_value)
INFO:root:[TURN 194] [WORKER u_47 at (5, 8)] [ACTION move] [VALUE 0.004266075938940048] at (5, 9) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_3 at (7, 5)] [ACTION move] [VALUE 0.020000000000000004] at (7, 5) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_2 at (6, 6)] [ACTION move] [VALUE 0.015000000000000003] at (6, 6) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_5 at (8, 5)] [ACTION move] [VALUE 0.017064303755760193] at (7, 5) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_16 at (7, 3)] [ACTION move] [VALUE 0.009169198125600816] at (6, 5) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_19 at (5, 5)] [ACTION move] [VALUE 0.012798227816820147] at (6, 5) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_31 at (2, 3)] [ACTION move] [VALUE 0.007241964340209961] at (0, 3) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.005000000000000001] at (5, 6) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_36 at (2, 8)] [ACTION move] [VALUE 0.006414461284875871] at (6, 9) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_38 at (1, 3)] [ACTION move] [VALUE 0.007241964340209961] at (0, 2) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_44 at (1, 2)] [ACTION move] [VALUE 10.0] at (4, 4) (rule_deliver_resources)
INFO:root:[TURN 195] [WORKER u_45 at (5, 6)] [ACTION move] [VALUE 0.000767951011657715] at (0, 1) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_46 at (8, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_48 at (7, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 195] [WORKER u_49 at (4, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_2 at (6, 6)] [ACTION move] [VALUE 0.015000000000000003] at (6, 6) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_3 at (7, 5)] [ACTION move] [VALUE 0.020000000000000004] at (7, 5) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_5 at (8, 5)] [ACTION move] [VALUE 0.017064303755760193] at (7, 5) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_19 at (5, 5)] [ACTION move] [VALUE 0.012798227816820147] at (6, 5) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_31 at (1, 3)] [ACTION move] [VALUE 0.008532151877880097] at (0, 3) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_33 at (4, 6)] [ACTION move] [VALUE 0.004266075938940048] at (5, 6) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.002373046875] at (0, 2) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_46 at (8, 6)] [ACTION move] [VALUE 0.00036896750330924996] at (0, 1) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_48 at (7, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 196] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_3 at (7, 5)] [ACTION move] [VALUE 0.020000000000000004] at (7, 5) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_2 at (6, 6)] [ACTION move] [VALUE 0.015000000000000003] at (6, 6) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_5 at (8, 5)] [ACTION move] [VALUE 0.017064303755760193] at (7, 5) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_19 at (5, 5)] [ACTION move] [VALUE 0.012798227816820147] at (6, 5) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_31 at (1, 3)] [ACTION move] [VALUE 0.008532151877880097] at (0, 3) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.005000000000000001] at (5, 6) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.002373046875] at (0, 2) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_46 at (8, 6)] [ACTION move] [VALUE 0.00036896750330924996] at (0, 1) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_48 at (7, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 197] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_3 at (7, 5)] [ACTION move] [VALUE 0.020000000000000004] at (7, 5) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_2 at (6, 6)] [ACTION move] [VALUE 0.015000000000000003] at (6, 6) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_5 at (8, 5)] [ACTION move] [VALUE 0.017064303755760193] at (7, 5) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_17 at (4, 9)] [ACTION move] [VALUE 0.010862946510314943] at (6, 9) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_19 at (5, 5)] [ACTION move] [VALUE 0.012798227816820147] at (6, 5) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_31 at (1, 3)] [ACTION move] [VALUE 0.008532151877880097] at (0, 3) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_33 at (5, 7)] [ACTION move] [VALUE 0.004266075938940048] at (5, 6) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.002373046875] at (0, 2) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_46 at (8, 6)] [ACTION move] [VALUE 0.00036896750330924996] at (0, 1) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_47 at (5, 9)] [ACTION move] [VALUE 0.005000000000000001] at (5, 9) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_48 at (7, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 198] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_2 at (6, 6)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_3 at (7, 5)] [ACTION move] [VALUE 0.020000000000000004] at (7, 5) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_5 at (8, 5)] [ACTION move] [VALUE 0.007241964340209961] at (6, 5) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_16 at (6, 3)] [ACTION move] [VALUE 0.007241964340209961] at (6, 5) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_19 at (5, 5)] [ACTION move] [VALUE 0.005000000000000001] at (5, 5) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_31 at (1, 3)] [ACTION move] [VALUE 0.008532151877880097] at (0, 3) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.008532151877880097] at (6, 6) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_36 at (3, 8)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 9) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_38 at (0, 3)] [ACTION move] [VALUE 10.0] at (4, 4) (rule_deliver_resources)
INFO:root:[TURN 199] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.0007379350066184999] at (0, 2) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_44 at (2, 2)] [ACTION move] [VALUE 0.003056399375200272] at (0, 1) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_46 at (8, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_47 at (5, 8)] [ACTION move] [VALUE 0.004266075938940048] at (5, 9) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_48 at (7, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 199] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_2 at (6, 6)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_3 at (7, 5)] [ACTION move] [VALUE 0.020000000000000004] at (7, 5) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_5 at (8, 5)] [ACTION move] [VALUE 0.007241964340209961] at (6, 5) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_16 at (6, 3)] [ACTION move] [VALUE 0.007241964340209961] at (6, 5) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_19 at (5, 4)] [ACTION move] [VALUE 0.004266075938940048] at (5, 5) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.008532151877880097] at (6, 6) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.00095367431640625] at (0, 3) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.002373046875] at (0, 2) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_46 at (8, 6)] [ACTION move] [VALUE 0.00036896750330924996] at (0, 1) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_47 at (5, 8)] [ACTION move] [VALUE 0.010862946510314943] at (6, 9) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_48 at (7, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 200] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_2 at (6, 6)] [ACTION build] [VALUE 0.133] at (6, 6) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 201] [WORKER u_3 at (7, 5)] [ACTION build] [VALUE 0.066] at (6, 6) (rule_build)
INFO:root:[TURN 201] [WORKER u_5 at (8, 5)] [ACTION build] [VALUE 0.1165] at (5, 5) (rule_build)
INFO:root:[TURN 201] [WORKER u_16 at (6, 3)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.005129089355468751] at (6, 5) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.005129089355468751] at (6, 5) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.0029103830456733704] at (0, 3) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_46 at (8, 6)] [ACTION move] [VALUE 0.00095367431640625] at (0, 2) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_47 at (6, 8)] [ACTION move] [VALUE 0.012798227816820147] at (6, 9) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_48 at (7, 7)] [ACTION move] [VALUE 0.00036896750330924996] at (0, 1) (rule_resource_value)
INFO:root:[TURN 201] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_2 at (6, 6)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_17 at (5, 9)] [ACTION build] [VALUE 0.1165] at (5, 5) (rule_build)
INFO:root:[TURN 202] [WORKER u_19 at (5, 5)] [ACTION move] [VALUE 0.008532151877880097] at (6, 5) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.008532151877880097] at (6, 6) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.00095367431640625] at (0, 3) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.002373046875] at (0, 2) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_46 at (8, 6)] [ACTION move] [VALUE 0.00036896750330924996] at (0, 1) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_48 at (7, 7)] [ACTION move] [VALUE 0.009169198125600816] at (6, 9) (rule_resource_value)
INFO:root:[TURN 202] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1165] at (5, 5) (rule_build)
INFO:root:[TURN 203] [WORKER u_3 at (6, 5)] [ACTION build] [VALUE 0.066] at (8, 9) (rule_build)
INFO:root:[TURN 203] [WORKER u_19 at (5, 5)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_16 at (7, 3)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_31 at (0, 3)] [ACTION move] [VALUE 10.0] at (4, 4) (rule_deliver_resources)
INFO:root:[TURN 203] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.005129089355468751] at (6, 5) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_33 at (6, 6)] [ACTION move] [VALUE 0.010000000000000002] at (6, 6) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_36 at (4, 8)] [ACTION move] [VALUE 0.009169198125600816] at (6, 9) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_38 at (0, 4)] [ACTION move] [VALUE 0.008532151877880097] at (0, 3) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.005129089355468751] at (6, 5) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_44 at (2, 1)] [ACTION move] [VALUE 0.006112798750400544] at (0, 2) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.0009590898454189302] at (0, 1) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_47 at (6, 9)] [ACTION build] [VALUE 0.1] at (4, 8) (rule_build)
INFO:root:[TURN 203] [WORKER u_48 at (6, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 203] [WORKER u_50 at (6, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_16 at (7, 3)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_2 at (7, 6)] [ACTION move] [VALUE 0.017064303755760193] at (7, 5) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1165] at (5, 5) (rule_build)
INFO:root:[TURN 204] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.005129089355468751] at (6, 5) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_17 at (4, 9)] [ACTION build] [VALUE 0.1] at (4, 8) (rule_build)
INFO:root:[TURN 204] [WORKER u_31 at (1, 3)] [ACTION move] [VALUE 0.008532151877880097] at (0, 3) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_33 at (5, 6)] [ACTION move] [VALUE 0.008532151877880097] at (6, 6) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_36 at (5, 8)] [ACTION move] [VALUE 0.010862946510314943] at (6, 9) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_39 at (9, 6)] [ACTION move] [VALUE 0.005129089355468751] at (6, 5) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_45 at (4, 6)] [ACTION move] [VALUE 0.002373046875] at (0, 2) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_46 at (8, 5)] [ACTION move] [VALUE 0.000476837158203125] at (0, 1) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_48 at (5, 7)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_49 at (4, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 204] [WORKER u_50 at (5, 6)] [ACTION move] [VALUE 0.0] at (0, 0) (rule_resource_value)
INFO:root:[TURN 205] [WORKER u_3 at (7, 5)] [ACTION build] [VALUE 0.066] at (8, 9) (rule_build)
INFO:root:[TURN 205] [WORKER u_2 at (7, 6)] [ACTION build] [VALUE 0.1165] at (5, 5) (rule_build)
INFO:root:[TURN 205] [WORKER u_16 at (7, 3)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 205] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1] at (4, 5) (rule_build)
INFO:root:[TURN 205] [WORKER u_42 at (10, 5)] [ACTION move] [VALUE 0.005129089355468751] at (6, 5) (rule_resource_value)
INFO:root:[TURN 205] [WORKER u_19 at (6, 5)] [ACTION build] [VALUE 0.0665] at (1, 2) (rule_build)
INFO:root:[TURN 205] [WORKER u_31 at (1, 3)] [ACTION move] [VALUE 0.008532151877880097] at (0, 3) (rule_resource_value)
